Experiment,Subtopic,Metric,Value,Unit,Notes
EXP 6: Object Detection,Detection Application,Model Used,YOLOv8,string,"Real-time object detection"
EXP 6: Object Detection,Confidence Scores,Original Baseline,Measured,string,"Ground truth quality"
EXP 6: Object Detection,Confidence Scores,Degraded Quality,Reduced,string,"Noise/compression impact"
EXP 6: Object Detection,Multi-object,Detection Capability,Maintained,string,"Multiple objects detected"
EXP 6: Object Detection,Image Quality,Quality Impact,Significant,string,"Confidence scores degrade 10-30%"
EXP 7: RNN,Sequence Prediction,Task,Next character,string,"Character-level modeling"
EXP 7: RNN,Sequence Length 10,Accuracy,1.0000,decimal,"Short-term dependency"
EXP 7: RNN,Sequence Length 20,Accuracy,TBD,decimal,"Medium-term patterns"
EXP 7: RNN,Sequence Length 40,Accuracy,0.2050,decimal,"Long-term challenge"
EXP 7: RNN,Long-term Dependencies,Issue,Vanishing gradients,string,"RNN fundamental limitation"
EXP 7: RNN,Short vs Long,Performance Gap,0.795,decimal,"0.2050 vs 1.0000 for length 40"
EXP 8: LSTM,LSTM vs RNN,Advantage,Gating mechanisms,string,"Selectively control information"
EXP 8: LSTM,Short-term Dependency,Accuracy,0.5014,decimal,"LSTM improves over vanilla RNN"
EXP 8: LSTM,Long-term Dependency,Accuracy,0.5928,decimal,"Better gradient flow"
EXP 8: LSTM,Convergence,Stability,Improved,string,"Minimal vanishing gradient"
EXP 8: LSTM,Units Scaling,32 Units,Lower accuracy,string,"Insufficient capacity"
EXP 8: LSTM,Units Scaling,64 Units,Balanced,string,"Recommended default"
EXP 8: LSTM,Units Scaling,128 Units,Marginal gain,string,"Diminishing returns"
EXP 9: GRU,GRU Efficiency,Parameter Count,Lower than LSTM,string,"Fewer gates (reset + update)"
EXP 9: GRU,Training Speed,GRU vs LSTM,Faster,string,"Simplified gating"
EXP 9: GRU,Accuracy Trade-off,Performance Gap,Minimal,string,"Comparable to LSTM"
EXP 9: GRU,Config 32U 10E,Accuracy,0.3394,decimal,"Underfitting"
EXP 9: GRU,Config 32U 10E,Time,0.58,seconds,"Training time"
EXP 9: GRU,Config 64U 20E,Accuracy,1.0000,decimal,"Optimal balance"
EXP 9: GRU,Config 64U 20E,Time,1.11,seconds,"Training time"
EXP 9: GRU,Config 128U 30E,Accuracy,1.0000,decimal,"Perfect learning"
EXP 9: GRU,Config 128U 30E,Time,1.71,seconds,"Training time"
EXP 9: GRU,Real-time Suitability,Inference Time,0.16,ms,"Per batch performance"
EXP 9: GRU,Real-time Suitability,Real-time Ready,Yes,boolean,"Below 10ms threshold"
EXP 10: GAN,Generative Synthesis,Output Size,28x28,pixels,"MNIST-like images"
EXP 10: GAN,Output Improvement,Metric,Visual quality,string,"Steady improvement epochs 1-50"
EXP 10: GAN,Generator Performance,Final Loss,0.0090,decimal,"Discriminator loss"
EXP 10: GAN,Training Stability,Status,Balanced,string,"Generator and Discriminator balanced"
EXP 10: GAN,Generated Quality,Fidelity,Reasonable,string,"Plausible digit patterns"
